[2026-06-27T12:01:46.111Z] GET http://localhost:4178/enterprise-library.html → 200 (2ms, 18022B)
[2026-06-27T12:01:46.116Z] GET http://localhost:4178/assets/css/theme.css → 200 (2ms, 27802B)
[2026-06-27T12:01:46.116Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (1ms, 6063B)
[2026-06-27T12:01:46.117Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (?ms, 1029203B)
[2026-06-27T12:01:46.117Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (23ms, 340606B)
[2026-06-27T12:01:46.117Z] GET http://localhost:4178/assets/js/data.js → 200 (22ms, 47293B)
[2026-06-27T12:01:46.117Z] GET http://localhost:4178/assets/js/charts.js → 200 (22ms, 15865B)
[2026-06-27T12:01:46.117Z] GET http://localhost:4178/assets/js/components.js → 200 (23ms, 13597B)
[2026-06-27T12:01:46.117Z] GET http://localhost:4178/assets/js/shell.js → 200 (23ms, 17726B)
[2026-06-27T12:01:46.181Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
[2026-06-27T12:01:47.131Z] GET http://localhost:4178/park-list.html → 200 (2ms, 17262B)
[2026-06-27T12:01:47.138Z] GET http://localhost:4178/assets/css/theme.css → 200 (2ms, 27802B)
[2026-06-27T12:01:47.138Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&display=swap → 200 (?ms, 6063B)
[2026-06-27T12:01:47.138Z] GET https://cdn.jsdelivr.net/npm/echarts@5.5.0/dist/echarts.min.js → 200 (1ms, 1029203B)
[2026-06-27T12:01:47.139Z] GET http://localhost:4178/assets/js/lucide.min.js → 200 (23ms, 340606B)
[2026-06-27T12:01:47.139Z] GET http://localhost:4178/assets/js/data.js → 200 (16ms, 47293B)
[2026-06-27T12:01:47.139Z] GET http://localhost:4178/assets/js/charts.js → 200 (15ms, 15865B)
[2026-06-27T12:01:47.139Z] GET http://localhost:4178/assets/js/components.js → 200 (16ms, 13597B)
[2026-06-27T12:01:47.139Z] GET http://localhost:4178/assets/js/shell.js → 200 (23ms, 17726B)
[2026-06-27T12:01:47.184Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, ?B)
